profesor_correo,curso_codigo
brianbrown67@university.com,1000
kevinanderson65@university.com,1001
johnwalker70@university.com,1002
kevinmoore0@university.com,1003
karenclark37@university.com,1004
kevinwilson71@university.com,1005
lauramiller96@university.com,1006
jasonsmith29@university.com,1007
lisathomas79@university.com,1008
jamesmiller81@university.com,1009
lisataylor28@university.com,1010
jamesthompson1@university.com,1011
johnmoore90@university.com,1012
markgarcia15@university.com,1013
alexthomas10@university.com,1014
kevinmartin95@university.com,1015
jameslewis48@university.com,1016
jamestaylor18@university.com,1017
jamesbrown49@university.com,1018
michaelwalker73@university.com,1019
jasongarcia82@university.com,1020
johnwalker70@university.com,1021
davidlee85@university.com,1022
lisajackson13@university.com,1023
lindajackson34@university.com,1024
johnlewis43@university.com,1025
michaeljackson30@university.com,1026
robertbrown59@university.com,1027
jamesdavis55@university.com,1028
jamesdavis55@university.com,1029
johnwalker70@university.com,1030
jameswilson66@university.com,1031
lindawalker47@university.com,1032
markwhite41@university.com,1033
kevinwhite68@university.com,1034
michaelwalker73@university.com,1035
karenbrown60@university.com,1036
jasonmiller54@university.com,1037
davidlee85@university.com,1038
jenniferanderson11@university.com,1039
lindaclark39@university.com,1040
brianbrown67@university.com,1041
johnmiller86@university.com,1042
kevinjohnson91@university.com,1043
brianlewis75@university.com,1044
kevinwilson71@university.com,1045
robertthompson26@university.com,1046
lisasmith56@university.com,1047
lindawilson24@university.com,1048
robertthompson26@university.com,1049
jenniferthompson84@university.com,1050
jameswilson66@university.com,1051
sarahsmith53@university.com,1052
markwilson7@university.com,1053
johnlewis43@university.com,1054
sarahtaylor33@university.com,1055
markgarcia15@university.com,1056
jameslewis48@university.com,1057
markwilson7@university.com,1058
jenniferwalker23@university.com,1059
thomasdavis22@university.com,1060
lisasmith56@university.com,1061
markjohnson94@university.com,1062
lindawilson24@university.com,1063
jenniferanderson11@university.com,1064
thomaswilson42@university.com,1065
jamesthompson1@university.com,1066
karenclark37@university.com,1067
alexthomas10@university.com,1068
davidlewis35@university.com,1069
thomaswilson42@university.com,1070
emilywilson93@university.com,1071
alexanderson20@university.com,1072
karenharris40@university.com,1073
lisathomas79@university.com,1074
brianwalker52@university.com,1075
markjohnson94@university.com,1076
alexbrown8@university.com,1077
jamesjohnson51@university.com,1078
johnbrown31@university.com,1079
kevinwalker87@university.com,1080
johnmiller86@university.com,1081
karentaylor38@university.com,1082
jasonwilson74@university.com,1083
lisalee25@university.com,1084
sarahgarcia21@university.com,1085
lisataylor58@university.com,1086
davidlee85@university.com,1087
lisataylor58@university.com,1088
sarahtaylor33@university.com,1089
lisalee25@university.com,1090
lisathomas79@university.com,1091
johnbrown31@university.com,1092
lindasmith32@university.com,1093
kevinwalker87@university.com,1094
alexanderson20@university.com,1095
michaeljackson78@university.com,1096
kevinwhite68@university.com,1097
michaelbrown69@university.com,1098
lauramiller96@university.com,1099
